ChronologicalIndex,DrawID,PreviousDrawID,EligibleTarget,Phase,OutcomeAccess
67,30964,30963,False,training_history,ALLOWED
68,30965,30964,False,training_history,ALLOWED
69,30966,30965,False,training_history,ALLOWED
70,30967,30966,False,training_history,ALLOWED
71,30968,30967,False,training_history,ALLOWED
72,30969,30968,False,training_history,ALLOWED
73,30972,30969,False,training_history,ALLOWED
74,30973,30972,False,training_history,ALLOWED
75,30974,30973,False,training_history,ALLOWED
76,30975,30974,False,training_history,ALLOWED
77,30976,30975,False,training_history,ALLOWED
78,30977,30976,False,training_history,ALLOWED
79,30978,30977,False,training_history,ALLOWED
80,30979,30978,False,training_history,ALLOWED
81,30980,30979,False,training_history,ALLOWED
82,30981,30980,False,training_history,ALLOWED
83,30984,30981,False,training_history,ALLOWED
84,30985,30984,False,training_history,ALLOWED
85,30986,30985,False,training_history,ALLOWED
86,30987,30986,False,training_history,ALLOWED
87,30988,30987,False,training_history,ALLOWED
88,30989,30988,False,training_history,ALLOWED
89,30990,30989,False,training_history,ALLOWED
90,30991,30990,False,training_history,ALLOWED
91,30992,30991,False,training_history,ALLOWED
92,30993,30992,False,training_history,ALLOWED
93,30996,30993,False,training_history,ALLOWED
94,30997,30996,False,training_history,ALLOWED
95,30998,30997,False,training_history,ALLOWED
96,30999,30998,False,training_history,ALLOWED
97,31000,30999,False,training_history,ALLOWED
98,31001,31000,False,training_history,ALLOWED
99,31002,31001,False,training_history,ALLOWED
100,31003,31002,False,training_history,ALLOWED
101,31004,31003,False,training_history,ALLOWED
102,31005,31004,False,training_history,ALLOWED
103,31008,31005,False,training_history,ALLOWED
104,31009,31008,False,training_history,ALLOWED
105,31010,31009,False,training_history,ALLOWED
106,31011,31010,False,training_history,ALLOWED
107,31012,31011,False,training_history,ALLOWED
108,31013,31012,False,training_history,ALLOWED
109,31014,31013,False,training_history,ALLOWED
110,31015,31014,False,training_history,ALLOWED
111,31016,31015,False,training_history,ALLOWED
112,31017,31016,False,training_history,ALLOWED
113,31020,31017,False,training_history,ALLOWED
114,31021,31020,False,training_history,ALLOWED
115,31022,31021,False,training_history,ALLOWED
116,31023,31022,False,training_history,ALLOWED
117,31024,31023,False,training_history,ALLOWED
118,31025,31024,False,training_history,ALLOWED
119,31026,31025,False,training_history,ALLOWED
120,31027,31026,False,training_history,ALLOWED
121,31028,31027,False,training_history,ALLOWED
122,31029,31028,False,training_history,ALLOWED
123,31030,31029,False,training_history,ALLOWED
124,31032,31030,False,training_history,ALLOWED
125,31033,31032,False,training_history,ALLOWED
126,31034,31033,False,training_history,ALLOWED
127,31035,31034,False,training_history,ALLOWED
128,31036,31035,False,training_history,ALLOWED
129,31037,31036,False,training_history,ALLOWED
130,31038,31037,False,training_history,ALLOWED
131,31039,31038,False,training_history,ALLOWED
132,31040,31039,False,training_history,ALLOWED
133,31041,31040,False,training_history,ALLOWED
134,31042,31041,False,training_history,ALLOWED
135,31043,31042,False,training_history,ALLOWED
136,31044,31043,False,training_history,ALLOWED
137,31045,31044,False,training_history,ALLOWED
138,31046,31045,False,training_history,ALLOWED
139,31047,31046,False,training_history,ALLOWED
140,31048,31047,False,training_history,ALLOWED
141,31049,31048,False,training_history,ALLOWED
142,31050,31049,False,training_history,ALLOWED
143,31051,31050,False,training_history,ALLOWED
144,31052,31051,False,training_history,ALLOWED
145,31053,31052,False,training_history,ALLOWED
146,31054,31053,False,training_history,ALLOWED
147,31055,31054,False,training_history,ALLOWED
148,31057,31055,False,training_history,ALLOWED
149,31058,31057,False,training_history,ALLOWED
150,31059,31058,False,training_history,ALLOWED
151,31060,31059,False,training_history,ALLOWED
152,31061,31060,False,training_history,ALLOWED
153,31062,31061,False,training_history,ALLOWED
154,31063,31062,False,training_history,ALLOWED
155,31064,31063,False,training_history,ALLOWED
156,31065,31064,False,training_history,ALLOWED
157,31066,31065,False,training_history,ALLOWED
158,31067,31066,False,training_history,ALLOWED
159,31069,31067,False,training_history,ALLOWED
160,31070,31069,False,training_history,ALLOWED
161,31071,31070,False,training_history,ALLOWED
162,31072,31071,False,training_history,ALLOWED
163,31073,31072,False,training_history,ALLOWED
164,31074,31073,False,training_history,ALLOWED
165,31075,31074,False,training_history,ALLOWED
166,31076,31075,False,training_history,ALLOWED
167,31077,31076,False,training_history,ALLOWED
168,31078,31077,False,training_history,ALLOWED
169,31079,31078,False,training_history,ALLOWED
170,31081,31079,False,training_history,ALLOWED
171,31082,31081,False,training_history,ALLOWED
172,31083,31082,False,training_history,ALLOWED
173,31084,31083,False,training_history,ALLOWED
174,31085,31084,False,training_history,ALLOWED
175,31086,31085,False,training_history,ALLOWED
176,31087,31086,False,training_history,ALLOWED
177,31088,31087,False,training_history,ALLOWED
178,31089,31088,False,training_history,ALLOWED
179,31090,31089,False,training_history,ALLOWED
180,31091,31090,False,training_history,ALLOWED
181,31093,31091,False,training_history,ALLOWED
182,31094,31093,False,training_history,ALLOWED
183,31095,31094,False,training_history,ALLOWED
184,31096,31095,False,training_history,ALLOWED
185,31097,31096,False,training_history,ALLOWED
186,31098,31097,False,training_history,ALLOWED
187,31099,31098,False,training_history,ALLOWED
188,31100,31099,False,training_history,ALLOWED
189,31101,31100,False,training_history,ALLOWED
190,31102,31101,False,training_history,ALLOWED
191,31103,31102,False,training_history,ALLOWED
192,31105,31103,False,training_history,ALLOWED
193,31106,31105,False,training_history,ALLOWED
194,31107,31106,False,training_history,ALLOWED
195,31108,31107,False,training_history,ALLOWED
196,31109,31108,False,training_history,ALLOWED
197,31110,31109,False,training_history,ALLOWED
198,31111,31110,False,training_history,ALLOWED
199,31112,31111,False,training_history,ALLOWED
200,31113,31112,False,training_history,ALLOWED
201,31114,31113,False,training_history,ALLOWED
202,31115,31114,False,training_history,ALLOWED
203,31117,31115,False,training_history,ALLOWED
204,31118,31117,False,training_history,ALLOWED
205,31119,31118,False,training_history,ALLOWED
206,31120,31119,False,training_history,ALLOWED
207,31121,31120,False,training_history,ALLOWED
208,31122,31121,False,training_history,ALLOWED
209,31123,31122,False,training_history,ALLOWED
210,31124,31123,False,training_history,ALLOWED
211,31125,31124,False,training_history,ALLOWED
212,31126,31125,False,training_history,ALLOWED
213,31127,31126,False,training_history,ALLOWED
214,31129,31127,False,training_history,ALLOWED
215,31130,31129,False,training_history,ALLOWED
216,31131,31130,False,training_history,ALLOWED
217,31132,31131,False,training_history,ALLOWED
218,31133,31132,False,training_history,ALLOWED
219,31134,31133,False,training_history,ALLOWED
220,31135,31134,False,training_history,ALLOWED
221,31136,31135,False,training_history,ALLOWED
222,31137,31136,False,training_history,ALLOWED
223,31138,31137,False,training_history,ALLOWED
224,31139,31138,False,training_history,ALLOWED
225,31141,31139,False,training_history,ALLOWED
226,31142,31141,False,training_history,ALLOWED
227,31143,31142,False,training_history,ALLOWED
228,31144,31143,False,training_history,ALLOWED
229,31145,31144,False,training_history,ALLOWED
230,31146,31145,False,training_history,ALLOWED
231,31147,31146,False,training_history,ALLOWED
232,31148,31147,False,training_history,ALLOWED
233,31149,31148,False,training_history,ALLOWED
234,31150,31149,False,training_history,ALLOWED
235,31151,31150,False,training_history,ALLOWED
236,31153,31151,False,training_history,ALLOWED
237,31154,31153,False,training_history,ALLOWED
238,31155,31154,False,training_history,ALLOWED
239,31156,31155,False,training_history,ALLOWED
240,31157,31156,False,training_history,ALLOWED
241,31158,31157,False,training_history,ALLOWED
242,31159,31158,False,training_history,ALLOWED
243,31160,31159,False,training_history,ALLOWED
244,31161,31160,False,training_history,ALLOWED
245,31162,31161,False,training_history,ALLOWED
246,31163,31162,False,training_history,ALLOWED
247,31165,31163,False,training_history,ALLOWED
248,31166,31165,False,training_history,ALLOWED
249,31167,31166,False,training_history,ALLOWED
250,31168,31167,False,training_history,ALLOWED
251,31169,31168,False,training_history,ALLOWED
252,31170,31169,False,training_history,ALLOWED
253,31171,31170,False,training_history,ALLOWED
254,31172,31171,False,training_history,ALLOWED
255,31173,31172,False,training_history,ALLOWED
256,31174,31173,False,training_history,ALLOWED
257,31175,31174,False,training_history,ALLOWED
258,31177,31175,False,training_history,ALLOWED
259,31178,31177,False,training_history,ALLOWED
260,31179,31178,False,training_history,ALLOWED
261,31180,31179,False,training_history,ALLOWED
262,31181,31180,False,training_history,ALLOWED
263,31182,31181,False,training_history,ALLOWED
264,31183,31182,False,training_history,ALLOWED
265,31184,31183,False,training_history,ALLOWED
266,31185,31184,False,training_history,ALLOWED
267,31186,31185,False,training_history,ALLOWED
268,31187,31186,False,training_history,ALLOWED
269,31189,31187,False,training_history,ALLOWED
270,31190,31189,False,training_history,ALLOWED
271,31191,31190,False,training_history,ALLOWED
272,31192,31191,False,training_history,ALLOWED
273,31193,31192,False,training_history,ALLOWED
274,31194,31193,False,training_history,ALLOWED
275,31195,31194,False,training_history,ALLOWED
276,31196,31195,False,training_history,ALLOWED
277,31197,31196,False,training_history,ALLOWED
278,31198,31197,False,training_history,ALLOWED
279,31199,31198,False,training_history,ALLOWED
280,31201,31199,False,training_history,ALLOWED
281,31202,31201,False,training_history,ALLOWED
282,31203,31202,False,training_history,ALLOWED
283,31204,31203,False,training_history,ALLOWED
284,31205,31204,False,training_history,ALLOWED
285,31206,31205,False,training_history,ALLOWED
286,31207,31206,False,training_history,ALLOWED
287,31208,31207,False,training_history,ALLOWED
288,31209,31208,False,training_history,ALLOWED
289,31210,31209,False,training_history,ALLOWED
290,31211,31210,False,training_history,ALLOWED
291,31213,31211,False,training_history,ALLOWED
292,31214,31213,False,training_history,ALLOWED
293,31215,31214,False,training_history,ALLOWED
294,31216,31215,False,training_history,ALLOWED
295,31217,31216,False,training_history,ALLOWED
296,31218,31217,False,training_history,ALLOWED
297,31219,31218,False,training_history,ALLOWED
298,31220,31219,False,training_history,ALLOWED
299,31221,31220,False,training_history,ALLOWED
300,31222,31221,False,training_history,ALLOWED
301,31223,31222,False,training_history,ALLOWED
302,31225,31223,False,training_history,ALLOWED
303,31226,31225,False,training_history,ALLOWED
304,31227,31226,False,training_history,ALLOWED
305,31228,31227,False,training_history,ALLOWED
306,31229,31228,False,training_history,ALLOWED
307,31230,31229,False,training_history,ALLOWED
308,31231,31230,False,training_history,ALLOWED
309,31232,31231,False,training_history,ALLOWED
310,31233,31232,False,training_history,ALLOWED
311,31234,31233,False,training_history,ALLOWED
312,31235,31234,False,training_history,ALLOWED
313,31237,31235,False,training_history,ALLOWED
314,31238,31237,False,training_history,ALLOWED
315,31239,31238,False,training_history,ALLOWED
316,31240,31239,False,training_history,ALLOWED
317,31241,31240,False,training_history,ALLOWED
318,31242,31241,False,training_history,ALLOWED
319,31243,31242,False,training_history,ALLOWED
320,31244,31243,False,training_history,ALLOWED
321,31245,31244,False,training_history,ALLOWED
322,31246,31245,False,training_history,ALLOWED
323,31247,31246,False,training_history,ALLOWED
324,31249,31247,False,training_history,ALLOWED
325,31250,31249,False,training_history,ALLOWED
326,31251,31250,False,training_history,ALLOWED
327,31252,31251,False,training_history,ALLOWED
328,31253,31252,False,training_history,ALLOWED
329,31254,31253,False,training_history,ALLOWED
330,31255,31254,False,training_history,ALLOWED
331,31256,31255,False,training_history,ALLOWED
332,31257,31256,False,training_history,ALLOWED
333,31258,31257,False,training_history,ALLOWED
334,31259,31258,False,training_history,ALLOWED
335,31260,31259,False,training_history,ALLOWED
336,31261,31260,False,training_history,ALLOWED
337,31262,31261,False,training_history,ALLOWED
338,31263,31262,False,training_history,ALLOWED
339,31264,31263,False,training_history,ALLOWED
340,31265,31264,False,training_history,ALLOWED
341,31266,31265,False,training_history,ALLOWED
342,31267,31266,False,training_history,ALLOWED
343,31268,31267,False,training_history,ALLOWED
344,31269,31268,False,training_history,ALLOWED
345,31270,31269,False,training_history,ALLOWED
346,31271,31270,False,training_history,ALLOWED
347,31272,31271,False,training_history,ALLOWED
348,31274,31272,False,training_history,ALLOWED
349,31275,31274,False,training_history,ALLOWED
350,31276,31275,False,training_history,ALLOWED
351,31277,31276,False,training_history,ALLOWED
352,31278,31277,False,training_history,ALLOWED
353,31279,31278,False,training_history,ALLOWED
354,31280,31279,False,training_history,ALLOWED
355,31281,31280,False,training_history,ALLOWED
356,31282,31281,False,training_history,ALLOWED
357,31283,31282,False,training_history,ALLOWED
358,31284,31283,False,training_history,ALLOWED
359,31286,31284,False,training_history,ALLOWED
360,31287,31286,False,training_history,ALLOWED
361,31288,31287,False,training_history,ALLOWED
362,31289,31288,False,training_history,ALLOWED
363,31290,31289,False,training_history,ALLOWED
364,31291,31290,False,training_history,ALLOWED
365,31292,31291,False,training_history,ALLOWED
366,31293,31292,False,training_history,ALLOWED
367,31294,31293,False,training_history,ALLOWED
368,31295,31294,False,training_history,ALLOWED
369,31296,31295,False,training_history,ALLOWED
370,31298,31296,False,training_history,ALLOWED
371,31299,31298,False,training_history,ALLOWED
372,31300,31299,False,training_history,ALLOWED
373,31301,31300,False,training_history,ALLOWED
374,31302,31301,False,training_history,ALLOWED
375,31303,31302,False,training_history,ALLOWED
376,31304,31303,False,training_history,ALLOWED
377,31305,31304,False,training_history,ALLOWED
378,31306,31305,False,training_history,ALLOWED
379,31307,31306,False,training_history,ALLOWED
380,31308,31307,False,training_history,ALLOWED
381,31310,31308,False,training_history,ALLOWED
382,31311,31310,False,training_history,ALLOWED
383,31312,31311,False,training_history,ALLOWED
384,31313,31312,False,training_history,ALLOWED
385,31314,31313,False,training_history,ALLOWED
386,31315,31314,False,training_history,ALLOWED
387,31316,31315,False,training_history,ALLOWED
388,31317,31316,False,training_history,ALLOWED
389,31318,31317,False,training_history,ALLOWED
390,31319,31318,False,training_history,ALLOWED
391,31320,31319,False,training_history,ALLOWED
392,31322,31320,False,training_history,ALLOWED
393,31323,31322,False,training_history,ALLOWED
394,31324,31323,False,training_history,ALLOWED
395,31325,31324,False,training_history,ALLOWED
396,31326,31325,False,training_history,ALLOWED
397,31327,31326,False,training_history,ALLOWED
398,31328,31327,False,training_history,ALLOWED
399,31329,31328,False,training_history,ALLOWED
400,31330,31329,False,training_history,ALLOWED
401,31331,31330,False,training_history,ALLOWED
402,31332,31331,False,training_history,ALLOWED
403,31334,31332,False,training_history,ALLOWED
404,31335,31334,False,training_history,ALLOWED
405,31336,31335,False,training_history,ALLOWED
406,31337,31336,False,training_history,ALLOWED
407,31338,31337,False,training_history,ALLOWED
408,31339,31338,False,training_history,ALLOWED
409,31340,31339,False,training_history,ALLOWED
410,31341,31340,False,training_history,ALLOWED
411,31342,31341,False,training_history,ALLOWED
412,31343,31342,False,training_history,ALLOWED
413,31344,31343,False,training_history,ALLOWED
414,31346,31344,False,training_history,ALLOWED
415,31347,31346,False,training_history,ALLOWED
416,31348,31347,False,training_history,ALLOWED
417,31349,31348,False,training_history,ALLOWED
418,31350,31349,False,training_history,ALLOWED
419,31351,31350,False,training_history,ALLOWED
420,31352,31351,False,training_history,ALLOWED
421,31353,31352,False,training_history,ALLOWED
422,31354,31353,False,training_history,ALLOWED
423,31355,31354,False,training_history,ALLOWED
424,31356,31355,False,training_history,ALLOWED
425,31358,31356,False,training_history,ALLOWED
426,31359,31358,False,training_history,ALLOWED
427,31360,31359,False,training_history,ALLOWED
428,31361,31360,False,training_history,ALLOWED
429,31362,31361,False,training_history,ALLOWED
430,31363,31362,False,training_history,ALLOWED
431,31364,31363,False,training_history,ALLOWED
432,31365,31364,False,training_history,ALLOWED
433,31366,31365,False,training_history,ALLOWED
434,31367,31366,False,training_history,ALLOWED
435,31368,31367,False,training_history,ALLOWED
436,31370,31368,False,training_history,ALLOWED
437,31371,31370,False,training_history,ALLOWED
438,31372,31371,False,training_history,ALLOWED
439,31373,31372,False,training_history,ALLOWED
440,31374,31373,False,training_history,ALLOWED
441,31375,31374,False,training_history,ALLOWED
442,31376,31375,False,training_history,ALLOWED
443,31377,31376,False,training_history,ALLOWED
444,31378,31377,False,training_history,ALLOWED
445,31379,31378,False,training_history,ALLOWED
446,31382,31379,False,training_history,ALLOWED
447,31383,31382,False,training_history,ALLOWED
448,31384,31383,False,training_history,ALLOWED
449,31385,31384,False,training_history,ALLOWED
450,31386,31385,False,training_history,ALLOWED
451,31387,31386,False,training_history,ALLOWED
452,31388,31387,False,training_history,ALLOWED
453,31389,31388,False,training_history,ALLOWED
454,31390,31389,False,training_history,ALLOWED
455,31391,31390,False,training_history,ALLOWED
456,31394,31391,False,training_history,ALLOWED
457,31395,31394,False,training_history,ALLOWED
458,31396,31395,False,training_history,ALLOWED
459,31397,31396,False,training_history,ALLOWED
460,31398,31397,False,training_history,ALLOWED
461,31399,31398,False,training_history,ALLOWED
462,31400,31399,False,training_history,ALLOWED
463,31401,31400,False,training_history,ALLOWED
464,31402,31401,False,training_history,ALLOWED
465,31403,31402,False,training_history,ALLOWED
466,31406,31403,False,training_history,ALLOWED
467,31407,31406,False,training_history,ALLOWED
468,31408,31407,False,training_history,ALLOWED
469,31409,31408,False,training_history,ALLOWED
470,31410,31409,False,training_history,ALLOWED
471,31411,31410,False,training_history,ALLOWED
472,31412,31411,False,training_history,ALLOWED
473,31413,31412,False,training_history,ALLOWED
474,31414,31413,False,training_history,ALLOWED
475,31415,31414,False,training_history,ALLOWED
476,31416,31415,False,training_history,ALLOWED
477,31418,31416,False,training_history,ALLOWED
478,31419,31418,False,training_history,ALLOWED
479,31420,31419,False,training_history,ALLOWED
480,31421,31420,False,training_history,ALLOWED
481,31422,31421,False,training_history,ALLOWED
482,31423,31422,False,training_history,ALLOWED
483,31424,31423,False,training_history,ALLOWED
484,31425,31424,False,training_history,ALLOWED
485,31426,31425,False,training_history,ALLOWED
486,31427,31426,False,training_history,ALLOWED
487,31428,31427,False,training_history,ALLOWED
488,31430,31428,False,training_history,ALLOWED
489,31431,31430,False,training_history,ALLOWED
490,31432,31431,False,training_history,ALLOWED
491,31433,31432,False,training_history,ALLOWED
492,31434,31433,False,training_history,ALLOWED
493,31435,31434,False,training_history,ALLOWED
494,31436,31435,False,training_history,ALLOWED
495,31437,31436,False,training_history,ALLOWED
496,31438,31437,False,training_history,ALLOWED
497,31439,31438,False,training_history,ALLOWED
498,31440,31439,False,training_history,ALLOWED
499,31442,31440,False,training_history,ALLOWED
500,31443,31442,True,historical_development,ALLOWED
501,31444,31443,True,historical_development,ALLOWED
502,31445,31444,True,historical_development,ALLOWED
503,31446,31445,True,historical_development,ALLOWED
504,31447,31446,True,historical_development,ALLOWED
505,31448,31447,True,historical_development,ALLOWED
506,31449,31448,True,historical_development,ALLOWED
507,31450,31449,True,historical_development,ALLOWED
508,31451,31450,True,historical_development,ALLOWED
509,31452,31451,True,historical_development,ALLOWED
510,31454,31452,False,ineligible_nonconsecutive,ALLOWED
511,31455,31454,True,historical_development,ALLOWED
512,31456,31455,True,historical_development,ALLOWED
513,31457,31456,True,historical_development,ALLOWED
514,31458,31457,True,historical_development,ALLOWED
515,31459,31458,True,historical_development,ALLOWED
516,31460,31459,True,historical_development,ALLOWED
517,31461,31460,True,historical_development,ALLOWED
518,31462,31461,True,historical_development,ALLOWED
519,31463,31462,True,historical_development,ALLOWED
520,31464,31463,True,historical_development,ALLOWED
521,31466,31464,False,ineligible_nonconsecutive,ALLOWED
522,31467,31466,True,historical_development,ALLOWED
523,31468,31467,True,historical_development,ALLOWED
524,31469,31468,True,historical_development,ALLOWED
525,31470,31469,True,historical_development,ALLOWED
526,31471,31470,True,historical_development,ALLOWED
527,31472,31471,True,historical_development,ALLOWED
528,31473,31472,True,historical_development,ALLOWED
529,31474,31473,True,historical_development,ALLOWED
530,31475,31474,True,historical_development,ALLOWED
531,31476,31475,True,historical_development,ALLOWED
532,31478,31476,False,ineligible_nonconsecutive,ALLOWED
533,31479,31478,True,historical_development,ALLOWED
534,31480,31479,True,historical_development,ALLOWED
535,31481,31480,True,historical_development,ALLOWED
536,31482,31481,True,historical_development,ALLOWED
537,31483,31482,True,historical_development,ALLOWED
538,31484,31483,True,historical_development,ALLOWED
539,31485,31484,True,historical_development,ALLOWED
540,31486,31485,True,historical_development,ALLOWED
541,31487,31486,True,historical_development,ALLOWED
542,31488,31487,True,historical_development,ALLOWED
543,31489,31488,True,historical_development,ALLOWED
544,31491,31489,False,ineligible_nonconsecutive,ALLOWED
545,31492,31491,True,historical_development,ALLOWED
546,31493,31492,True,historical_development,ALLOWED
547,31494,31493,True,historical_development,ALLOWED
548,31495,31494,True,historical_development,ALLOWED
549,31496,31495,True,historical_development,ALLOWED
550,31497,31496,True,historical_development,ALLOWED
551,31498,31497,True,historical_development,ALLOWED
552,31499,31498,True,historical_development,ALLOWED
553,31500,31499,True,historical_development,ALLOWED
554,31501,31500,True,historical_development,ALLOWED
555,31503,31501,False,ineligible_nonconsecutive,ALLOWED
556,31504,31503,True,historical_development,ALLOWED
557,31505,31504,True,historical_development,ALLOWED
558,31506,31505,True,historical_development,ALLOWED
559,31507,31506,True,historical_development,ALLOWED
560,31508,31507,True,historical_development,ALLOWED
561,31509,31508,True,historical_development,ALLOWED
562,31510,31509,True,historical_development,ALLOWED
563,31511,31510,True,historical_development,ALLOWED
564,31512,31511,True,historical_development,ALLOWED
565,31513,31512,True,historical_development,ALLOWED
566,31515,31513,False,ineligible_nonconsecutive,ALLOWED
567,31516,31515,True,historical_development,ALLOWED
568,31517,31516,True,historical_development,ALLOWED
569,31518,31517,True,historical_development,ALLOWED
570,31519,31518,True,historical_development,ALLOWED
571,31520,31519,True,historical_development,ALLOWED
572,31521,31520,True,historical_development,ALLOWED
573,31522,31521,True,historical_development,ALLOWED
574,31523,31522,True,historical_development,ALLOWED
575,31524,31523,True,historical_development,ALLOWED
576,31525,31524,True,historical_development,ALLOWED
577,31527,31525,False,ineligible_nonconsecutive,ALLOWED
578,31528,31527,True,historical_development,ALLOWED
579,31529,31528,True,historical_development,ALLOWED
580,31530,31529,True,historical_development,ALLOWED
581,31531,31530,True,historical_development,ALLOWED
582,31532,31531,True,historical_development,ALLOWED
583,31533,31532,True,historical_development,ALLOWED
584,31534,31533,True,historical_development,ALLOWED
585,31535,31534,True,historical_development,ALLOWED
586,31536,31535,True,historical_development,ALLOWED
587,31537,31536,True,historical_development,ALLOWED
588,31539,31537,False,ineligible_nonconsecutive,ALLOWED
589,31540,31539,True,historical_development,ALLOWED
590,31541,31540,True,historical_development,ALLOWED
591,31542,31541,True,historical_development,ALLOWED
592,31543,31542,True,historical_development,ALLOWED
593,31544,31543,True,historical_development,ALLOWED
594,31545,31544,True,historical_development,ALLOWED
595,31546,31545,True,historical_development,ALLOWED
596,31547,31546,True,historical_development,ALLOWED
597,31548,31547,True,historical_development,ALLOWED
598,31549,31548,True,historical_development,ALLOWED
599,31551,31549,False,ineligible_nonconsecutive,ALLOWED
600,31552,31551,True,historical_development,ALLOWED
601,31553,31552,True,historical_development,ALLOWED
602,31554,31553,True,historical_development,ALLOWED
603,31555,31554,True,historical_development,ALLOWED
604,31556,31555,True,historical_development,ALLOWED
605,31557,31556,True,historical_development,ALLOWED
606,31575,31557,False,ineligible_nonconsecutive,ALLOWED
607,31576,31575,True,historical_development,ALLOWED
608,31577,31576,True,historical_development,ALLOWED
609,31578,31577,True,historical_development,ALLOWED
610,31579,31578,True,historical_development,ALLOWED
611,31580,31579,True,historical_development,ALLOWED
612,31581,31580,True,historical_development,ALLOWED
613,31582,31581,True,historical_development,ALLOWED
614,31583,31582,True,historical_development,ALLOWED
615,31584,31583,True,historical_development,ALLOWED
616,31585,31584,True,historical_development,ALLOWED
617,31587,31585,False,ineligible_nonconsecutive,ALLOWED
618,31588,31587,True,historical_development,ALLOWED
619,31589,31588,True,historical_development,ALLOWED
620,31590,31589,True,historical_development,ALLOWED
621,31591,31590,True,historical_development,ALLOWED
622,31592,31591,True,historical_development,ALLOWED
623,31593,31592,True,historical_development,ALLOWED
624,31594,31593,True,historical_development,ALLOWED
625,31595,31594,True,historical_development,ALLOWED
626,31596,31595,True,historical_development,ALLOWED
627,31597,31596,True,historical_development,ALLOWED
628,31599,31597,False,ineligible_nonconsecutive,ALLOWED
629,31600,31599,True,historical_development,ALLOWED
630,31601,31600,True,historical_development,ALLOWED
631,31602,31601,True,historical_development,ALLOWED
632,31603,31602,True,historical_development,ALLOWED
633,31604,31603,True,historical_development,ALLOWED
634,31605,31604,True,historical_development,ALLOWED
635,31606,31605,True,historical_development,ALLOWED
636,31607,31606,True,historical_development,ALLOWED
637,31608,31607,True,historical_development,ALLOWED
638,31611,31608,False,ineligible_nonconsecutive,ALLOWED
639,31612,31611,True,historical_development,ALLOWED
640,31613,31612,True,historical_development,ALLOWED
641,31614,31613,True,historical_development,ALLOWED
642,31615,31614,True,historical_development,ALLOWED
643,31616,31615,True,historical_development,ALLOWED
644,31617,31616,True,historical_development,ALLOWED
645,31618,31617,True,historical_development,ALLOWED
646,31619,31618,True,historical_development,ALLOWED
647,31620,31619,True,historical_development,ALLOWED
648,31621,31620,True,historical_development,ALLOWED
649,31623,31621,False,ineligible_nonconsecutive,ALLOWED
